;P234_01_N_Scr_1.CEL;P234_02_N_Inh_3.CEL;P234_03_6F4_Scr_1.CEL;P234_04_6F4_Scr_3.CEL;P234_05_6F4_Inh_2.CEL;P234_06_6F4_Inh_3.CEL
ERCCmix1step5;4,48731536929399;4,38752665910275;5,05517244163717;5,73106493040549;4,8737732086178;5,52853300988747
ERCCmix1step6;3,40477053941522;3,6861337641377;2,89134178188404;3,94720278021009;2,97626146967904;2,79330521452348
ERCCmix1step7;4,23200515342844;3,97038781222892;3,80630766135641;4,75409698685183;4,5130171331967;5,20665272449354
ERCCmix1step8;5,28366571526468;5,05406948209225;4,88503076506806;5,9738188835321;5,39453972809924;5,88188221503006
ERCCmix1step9;5,9312432924949;5,7369460624835;4,91277953999449;5,56958846097277;5,10978514732509;5,4414808989649
ERCCmix2step1;5,76353856445844;5,50403621047465;6,31645358404199;6,98568162900259;6,37644805804428;6,17127022472157
ERCCmix2step10;3,94255645104269;4,18293691436322;4,61482270696826;5,06640379631249;4,40594898079551;4,99798346048773
ERCCmix2step11;4,11436188027251;4,46654340395658;5,12581262485019;5,97975532350211;5,26622265496311;6,0146031103326
ERCCmix2step12;3,78711107753676;4,17608740517499;4,01372392516897;4,67617040198899;3,76230468755429;4,41278462128828
ERCCmix2step13;3,45248330748997;3,49213598668385;3,21916958950033;4,56058734132835;3,46408388440893;3,74488677843566
ERCCmix2step14;4,63696338886649;4,75939869075779;4,01304628996295;5,18351399018417;3,70976115549765;5,03937479140511
ERCCmix2step15;4,51158554998431;4,32671102521197;4,8370517955019;5,80357317650698;4,9452263345231;5,79555957812974
ERCCmix2step16;5,63029982151286;5,91099848226365;5,14293972982029;6,18399412895948;5,05989651337894;6,23851250717636
ERCCmix2step17;4,98709773919265;4,76930846089288;4,88961485941987;5,60523191262683;5,27086558516549;5,31013437627937
ERCCmix2step18;5,76199294952279;5,72587584542002;5,63305752265898;6,56738461327844;5,89281220724707;6,25048505740024
